,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,5.0,11.0,3.0
1,0.07345,2.931,4.9959,5.963
2,0.14689,6.278,5.3633,9.669
3,0.22034,4.086,7.6612,10.029
4,0.29379,3.771,9.3714,8.555
5,0.36723,2.755,15.3469,8.878
6,0.44068,6.641,24.1143,12.208
7,0.51413,28.8,37.4,16.0
8,0.58758,48.612,42.9714,31.147
9,0.66102,60.898,48.1878,58.576
10,0.73447,87.694,43.898,86.694
11,0.80792,94.416,42.3429,109.743
12,0.88136,117.563,46.3714,166.706
13,0.95481,83.604,36.5306,206.657
14,1.02826,77.4,28.8,233.8
15,1.1017,39.408,19.2653,229.347
16,1.17515,23.751,16.449,230.804
17,1.2486,10.02,17.302,238.502
18,1.32204,8.661,16.7673,236.612
19,1.39549,8.086,17.3143,237.102
20,1.46894,6.51,17.5306,220.551
21,1.54239,3.6,18.2,207.4
22,1.61583,7.576,13.0082,185.735
23,1.68928,2.571,8.7796,141.306
24,1.76273,3.024,9.0082,126.592
25,1.83617,1.653,6.7347,101.347
26,1.90962,2.376,4.6612,71.559
27,1.98307,3.735,4.4245,63.645
28,2.05651,2.2,4.8,49.2
29,2.12996,1.576,5.8857,34.033
30,2.20341,2.51,4.4694,34.612
31,2.27685,1.351,5.6898,31.837
32,2.3503,2.547,6.2082,17.841
33,2.42375,0.649,2.7673,15.273
34,2.4972,1.102,7.2816,10.155
35,2.57064,2.0,7.0,4.0
