,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,1.0,10.0
1,0.07345,4.9474,3.9474,11.0526
2,0.14689,1.9474,7.0,5.3158
3,0.22034,3.0,2.0,8.4737
4,0.29379,2.6842,4.1053,8.7895
5,0.36723,4.4737,3.2632,5.2632
6,0.44068,2.1579,5.6842,13.4211
7,0.51413,4.8158,5.7368,14.0
8,0.58758,7.8421,7.8421,20.1053
9,0.66102,16.3947,11.5789,19.7632
10,0.73447,29.8947,12.6316,24.2632
11,0.80792,37.0,17.3947,27.8947
12,0.88136,19.5263,12.3158,42.6842
13,0.95481,8.7368,11.6842,52.3158
14,1.02826,4.4211,9.6316,58.4737
15,1.1017,8.7895,5.1842,64.1053
16,1.17515,1.0,8.5789,72.8421
17,1.2486,2.2368,8.2105,68.8684
18,1.32204,3.1579,6.8947,79.4211
19,1.39549,1.0,6.0,68.5
20,1.46894,10.3158,4.0,74.1053
21,1.54239,3.3421,3.5526,74.9737
22,1.61583,1.6842,3.7368,69.7895
23,1.68928,7.3947,4.2105,68.6842
24,1.76273,2.9474,3.0,68.6316
25,1.83617,8.6579,5.0,64.2632
26,1.90962,1.3684,9.0,61.8947
27,1.98307,2.0263,4.0,61.5263
28,2.05651,3.2632,3.3158,44.7895
29,2.12996,5.0526,1.1842,49.8421
30,2.20341,5.2105,2.0526,37.8947
31,2.27685,0.8158,3.0,21.6579
32,2.3503,1.6842,3.3684,19.1053
33,2.42375,8.6842,4.3421,15.9737
34,2.4972,0.0,4.1053,12.7368
35,2.57064,2.0,5.8421,12.8421
36,2.64409,0.4211,1.8947,8.4737
37,2.71754,11.6842,2.0263,6.0263
38,2.79098,6.0,4.0,7.0
