Distance_(microns),Value
0.00000,0.00000
0.06889,1.77523
0.13779,1.97711
0.20668,2.96150
0.27558,2.54839
0.34447,2.96358
0.41337,5.37981
0.48226,5.75806
0.55116,6.63371
0.62005,6.71384
0.68894,5.94381
0.75784,4.03018
0.82673,4.28824
0.89563,5.46670
0.96452,3.88241
1.03342,2.31998
1.10231,3.37357
1.17121,3.62435
1.24010,2.90114
1.30900,2.77107
1.37789,1.45057
1.44678,0.45109
1.51568,0.78668
1.58457,2.00000
1.65347,1.77419
1.72236,1.08429
1.79126,1.73777
1.86015,2.13476
1.92905,1.28096
1.99794,2.79969
2.06683,1.98959
2.13573,1.50000
