Distance_(microns),Value
0.00000,1.18750
0.06889,2.37847
0.13779,0.76389
0.20668,0.26042
0.27558,0.70139
0.34447,0.61458
0.41337,1.25000
0.48226,2.11111
0.55116,4.45139
0.62005,4.56250
0.68894,2.63889
0.75784,3.92708
0.82673,4.56250
0.89563,2.52778
0.96452,1.69444
1.03342,0.95833
1.10231,1.25694
1.17121,1.97917
1.24010,1.25000
1.30900,1.97917
1.37789,1.45139
1.44678,2.47917
1.51568,0.86111
1.58457,0.26389
1.65347,0.70833
1.72236,1.21528
1.79126,1.00000
1.86015,1.71875
1.92905,2.92361
1.99794,2.22917
2.06683,1.16667
2.13573,1.13542
2.20462,0.27083
2.27352,0.66667
2.34241,0.94444
2.41131,0.75000
2.48020,0.18750
