Distance_(microns),Value
0.00000,0.69453
0.06889,1.28571
0.13779,0.84832
0.20668,0.00000
0.27558,0.12859
0.34447,0.88094
0.41337,0.00000
0.48226,0.35671
0.55116,3.39393
0.62005,2.83067
0.68894,5.14456
0.75784,2.99352
0.82673,2.80890
0.89563,7.46771
0.96452,0.06996
1.03342,0.60478
1.10231,1.04286
1.17121,3.98710
1.24010,1.38867
1.30900,0.93146
1.37789,2.42008
1.44678,1.40002
1.51568,3.61453
1.58457,1.14693
1.65347,0.89724
1.72236,0.99830
1.79126,0.19471
1.86015,1.84574
1.92905,1.51997
1.99794,0.78581
2.06683,1.30836
2.13573,1.49046
2.20462,2.43806
2.27352,1.24536
2.34241,1.41737
2.41131,0.69451
