Distance_(microns),Value
0.00000,7.7500
0.06889,7.1176
0.13779,7.5588
0.20668,6.7059
0.27558,6.7941
0.34447,9.9412
0.41337,13.9118
0.48226,13.1471
0.55116,12.2941
0.62005,18.7059
0.68894,27.0000
0.75784,29.4118
0.82673,31.1324
0.89563,36.7647
0.96452,37.6471
1.03342,35.7353
1.10231,31.2941
1.17121,33.0000
1.24010,33.0000
1.30900,32.2647
1.37789,29.6618
1.44678,21.5882
1.51568,20.0882
1.58457,19.1471
1.65347,15.8088
1.72236,11.7941
1.79126,11.6912
1.86015,10.3235
1.92905,8.4559
1.99794,10.4412
2.06683,10.4412
2.13573,6.9412
2.20462,4.4412
2.27352,4.4118
2.34241,2.5000
