Distance_(microns),Value
0.00000,3.5000
0.06889,3.9872
0.13779,2.1453
0.20668,2.7981
0.27558,4.1923
0.34447,7.4049
0.41337,18.6154
0.48226,25.2585
0.55116,29.2372
0.62005,46.2404
0.68894,53.6838
0.75784,35.8499
0.82673,15.2115
0.89563,10.4028
0.96452,10.8205
1.03342,8.6106
1.10231,5.0556
1.17121,9.5609
1.24010,15.2308
1.30900,10.3632
1.37789,14.8333
1.44678,12.6779
1.51568,6.5299
1.58457,5.4706
1.65347,6.3077
1.72236,7.3301
1.79126,7.6667
1.86015,6.0721
1.92905,4.7543
1.99794,4.4979
2.06683,2.2308
2.13573,5.0759
2.20462,3.3761
2.27352,1.6442
2.34241,2.9573
2.41131,3.6581
2.48020,3.5000
2.54910,1.8104
2.61799,1.0000
2.68689,0.2500
