Distance_(microns),Value
0.00000,0.91666
0.06889,0.58602
0.13779,0.56002
0.20668,0.24734
0.27558,1.09316
0.34447,0.24823
0.41337,0.86020
0.48226,0.78235
0.55116,4.02951
0.62005,1.97043
0.68894,2.93381
0.75784,5.80720
0.82673,1.67750
0.89563,4.88796
0.96452,3.73933
1.03342,7.43810
1.10231,5.26620
1.17121,8.35468
1.24010,3.80105
1.30900,3.40058
1.37789,4.09580
1.44678,1.97582
1.51568,2.88165
1.58457,1.03582
1.65347,1.00000
1.72236,1.15863
1.79126,1.92921
1.86015,0.46235
1.92905,0.83331
1.99794,0.00000
2.06683,0.24735
2.13573,0.97222
