Distance_(microns),Value
0.00000,2.0000
0.06889,7.9167
0.13779,5.0833
0.20668,9.6250
0.27558,4.0833
0.34447,11.3750
0.41337,9.6250
0.48226,6.8542
0.55116,11.0000
0.62005,7.7500
0.68894,12.3750
0.75784,9.0000
0.82673,16.7500
0.89563,22.1042
0.96452,31.5417
1.03342,37.6875
1.10231,39.0000
1.17121,41.9375
1.24010,41.3750
1.30900,47.5000
1.37789,36.6667
1.44678,39.6875
1.51568,26.0417
1.58457,25.1667
1.65347,14.5000
1.72236,12.0417
1.79126,18.3750
1.86015,12.3125
1.92905,9.8333
1.99794,10.7917
2.06683,8.8750
2.13573,6.3542
2.20462,2.3333
2.27352,5.6875
2.34241,6.8333
2.41131,5.0000
2.48020,9.2500
