Distance_(microns),Value
0.00000,1.1250
0.06889,0.9909
0.13779,3.2256
0.20668,2.8796
0.27558,2.4878
0.34447,2.5610
0.41337,2.1524
0.48226,2.8140
0.55116,1.4512
0.62005,1.7226
0.68894,4.0122
0.75784,4.7012
0.82673,9.6494
0.89563,13.1326
0.96452,15.3293
1.03342,14.3095
1.10231,9.2927
1.17121,7.0610
1.24010,5.1646
1.30900,4.5015
1.37789,3.6555
1.44678,3.0930
1.51568,3.4756
1.58457,1.6601
1.65347,2.9848
1.72236,2.6738
1.79126,1.5915
1.86015,1.3308
1.92905,0.5823
1.99794,0.8308
2.06683,1.2744
2.13573,1.6113
2.20462,1.1738
2.27352,1.5259
2.34241,0.4268
2.41131,0.5351
2.48020,0.9299
2.54910,0.2500
2.61799,0.2012
2.68689,0.8155
2.75578,0.2500
2.82467,0.1875
