Distance_(microns),Value
0.00000,8.2500
0.06889,12.1479
0.13779,8.1646
0.20668,7.6387
0.27558,9.7104
0.34447,8.1585
0.41337,8.7805
0.48226,9.4710
0.55116,8.2683
0.62005,11.6296
0.68894,23.4573
0.75784,41.0168
0.82673,52.9146
0.89563,66.7043
0.96452,55.1585
1.03342,32.1052
1.10231,22.4421
1.17121,10.8354
1.24010,8.7134
1.30900,7.2500
1.37789,5.6890
1.44678,3.3140
1.51568,4.4085
1.58457,2.4802
1.65347,1.3811
1.72236,2.6402
1.79126,2.2622
1.86015,2.0091
1.92905,1.9848
1.99794,2.5229
2.06683,0.9207
2.13573,1.1113
2.20462,0.5762
2.27352,1.5747
2.34241,2.3476
2.41131,0.6082
2.48020,0.7500
2.54910,1.2058
2.61799,1.0671
2.68689,0.2500
2.75578,0.1921
2.82467,0.0625
