Distance_(microns),Value
0.00000,3.6250
0.06889,5.3613
0.13779,9.7744
0.20668,10.5655
0.27558,8.5457
0.34447,9.4695
0.41337,9.9451
0.48226,7.6006
0.55116,8.1128
0.62005,6.3872
0.68894,4.4207
0.75784,8.3765
0.82673,15.8476
0.89563,35.9421
0.96452,41.6037
1.03342,50.9192
1.10231,73.3018
1.17121,86.8216
1.24010,87.8963
1.30900,98.3918
1.37789,98.7835
1.44678,89.8781
1.51568,89.4268
1.58457,87.4436
1.65347,79.8110
1.72236,73.0762
1.79126,75.7500
1.86015,65.2988
1.92905,53.5976
1.99794,47.0534
2.06683,46.9695
2.13573,47.1448
2.20462,28.1433
2.27352,21.2668
2.34241,17.3537
2.41131,16.2500
2.48020,11.8994
2.54910,8.3476
2.61799,4.7012
2.68689,4.8445
2.75578,4.8659
2.82467,8.1250
