Distance_(microns),Value
0.00000,1.0279
0.06889,1.0401
0.13779,0.5449
0.20668,1.0244
0.27558,0.5694
0.34447,1.8377
0.41337,0.9918
0.48226,0.7689
0.55116,6.5489
0.62005,17.5807
0.68894,22.2593
0.75784,32.9613
0.82673,33.2138
0.89563,17.7194
0.96452,8.3672
1.03342,6.3095
1.10231,5.4829
1.17121,5.2485
1.24010,3.5660
1.30900,5.1701
1.37789,4.9940
1.44678,5.1645
1.51568,3.8549
1.58457,5.5205
1.65347,7.4615
1.72236,6.4861
1.79126,4.6058
1.86015,4.2043
1.92905,2.8644
1.99794,2.6445
2.06683,3.0036
2.13573,2.4021
2.20462,1.6081
2.27352,0.5650
2.34241,0.0000
2.41131,0.1192
2.48020,0.1341
2.54910,0.0000
2.61799,0.2050
2.68689,0.3020
2.75578,0.0930
2.82467,0.2500
