Distance_(microns),Value
0.00000,8.5000
0.06889,9.0000
0.13779,9.4429
0.20668,6.5357
0.27558,4.0786
0.34447,3.5357
0.41337,5.1643
0.48226,6.0000
0.55116,7.8143
0.62005,13.7714
0.68894,15.7143
0.75784,15.2214
0.82673,21.7429
0.89563,27.4571
0.96452,27.1500
1.03342,30.8214
1.10231,29.3071
1.17121,27.9214
1.24010,37.9000
1.30900,31.3500
1.37789,26.8214
1.44678,35.6500
1.51568,32.1643
1.58457,27.0286
1.65347,26.0857
1.72236,22.2500
1.79126,17.9071
1.86015,14.6000
1.92905,10.9000
1.99794,6.5214
2.06683,5.8571
2.13573,5.4571
2.20462,2.9143
2.27352,0.6643
2.34241,0.7071
2.41131,0.7500
