Distance_(microns),Value
0.00000,0.8334
0.06889,2.3238
0.13779,1.2214
0.20668,1.4644
0.27558,7.3976
0.34447,8.1787
0.41337,13.0596
0.48226,14.5333
0.55116,15.5502
0.62005,25.1406
0.68894,31.8334
0.75784,34.8285
0.82673,28.0166
0.89563,23.1761
0.96452,15.3999
1.03342,7.4046
1.10231,1.1381
1.17121,1.6785
1.24010,1.0143
1.30900,1.9571
1.37789,0.5357
1.44678,0.9500
1.51568,1.1286
1.58457,2.0357
1.65347,0.6976
1.72236,1.2024
1.79126,1.9143
1.86015,1.8643
1.92905,1.0000
1.99794,0.7786
2.06683,0.5000
2.13573,0.2690
2.20462,0.4714
2.27352,0.7595
2.34241,0.5000
2.41131,0.7500
