Distance_(microns),Value
0.00000,0.5000
0.06889,0.4502
0.13779,0.5556
0.20668,3.1242
0.27558,3.1382
0.34447,1.5975
0.41337,4.9260
0.48226,9.8186
0.55116,12.7319
0.62005,14.0417
0.68894,10.8257
0.75784,5.5364
0.82673,6.0154
0.89563,4.5697
0.96452,6.0946
1.03342,5.2971
1.10231,4.8855
1.17121,5.1010
1.24010,4.2222
1.30900,2.9070
1.37789,1.4461
1.44678,0.6628
1.51568,1.3841
1.58457,1.4864
1.65347,0.2376
1.72236,0.6599
1.79126,2.1111
1.86015,1.6042
1.92905,0.0000
1.99794,0.0685
2.06683,0.5555
2.13573,1.0060
2.20462,1.4445
2.27352,1.5146
2.34241,0.4801
2.41131,0.0000
2.48020,0.4167
