Distance_(microns),Value
0.00000,0.3334
0.06889,0.0622
0.13779,0.2455
0.20668,1.0166
0.27558,1.7355
0.34447,5.8333
0.41337,14.0468
0.48226,19.0002
0.55116,19.2947
0.62005,20.1836
0.68894,16.5277
0.75784,17.1751
0.82673,5.1799
0.89563,4.9678
0.96452,4.8355
1.03342,1.0000
1.10231,1.7088
1.17121,5.4333
1.24010,2.8734
1.30900,4.6000
1.37789,3.0555
1.44678,3.2417
1.51568,1.9516
1.58457,3.4440
1.65347,2.9267
1.72236,2.1250
1.79126,2.5672
1.86015,2.3083
1.92905,2.3777
1.99794,3.2182
2.06683,2.7083
2.13573,2.7962
2.20462,3.9145
2.27352,2.7867
2.34241,1.3150
2.41131,1.9444
2.48020,2.4000
2.54910,0.9683
2.61799,1.4438
2.68689,0.4866
2.75578,0.1389
