Distance_(microns),Value
0.00000,1.5000
0.06889,2.0230
0.13779,1.8689
0.20668,1.5912
0.27558,5.5640
0.34447,12.3831
0.41337,20.3625
0.48226,25.9024
0.55116,19.5000
0.62005,10.1880
0.68894,4.9589
0.75784,2.0416
0.82673,1.4533
0.89563,3.7460
0.96452,5.0569
1.03342,6.5583
1.10231,4.8478
1.17121,2.5781
1.24010,4.4284
1.30900,8.8834
1.37789,8.1938
1.44678,5.6470
1.51568,8.6771
1.58457,9.2917
1.65347,12.0372
1.72236,5.1166
1.79126,9.5348
1.86015,12.8947
1.92905,9.6678
1.99794,7.9683
2.06683,4.1166
2.13573,1.4721
2.20462,2.3227
2.27352,7.2075
2.34241,7.6875
