Distance_(microns),Value
0.00000,0.0000
0.06889,0.0000
0.13779,0.9403
0.20668,0.5424
0.27558,1.4697
0.34447,1.6079
0.41337,3.3719
0.48226,6.5396
0.55116,7.8641
0.62005,9.8647
0.68894,11.0983
0.75784,6.5278
0.82673,2.9876
0.89563,2.0791
0.96452,1.6896
1.03342,1.1395
1.10231,1.4706
1.17121,3.1136
1.24010,3.3719
1.30900,2.5758
1.37789,2.5776
1.44678,1.5351
1.51568,1.6667
1.58457,1.5686
1.65347,0.9132
1.72236,0.6894
1.79126,1.4867
1.86015,0.9928
1.92905,0.5321
1.99794,1.9301
2.06683,1.3223
2.13573,1.3097
2.20462,1.7199
2.27352,0.8750
