Distance_(microns),Value
0.00000,8.0833
0.06889,8.9776
0.13779,9.0359
0.20668,9.8430
0.27558,9.9807
0.34447,9.0595
0.41337,7.7975
0.48226,6.0225
0.55116,7.3745
0.62005,8.1817
0.68894,14.6383
0.75784,25.9168
0.82673,40.3050
0.89563,49.7913
0.96452,50.6557
1.03342,57.6502
1.10231,62.0738
1.17121,59.2641
1.24010,61.9504
1.30900,60.4787
1.37789,61.3286
1.44678,67.4350
1.51568,56.5553
1.58457,45.2591
1.65347,43.5800
1.72236,46.8351
1.79126,46.0302
1.86015,42.5978
1.92905,39.2927
1.99794,30.2110
2.06683,23.1860
2.13573,26.2722
2.20462,27.7120
2.27352,21.5415
2.34241,13.7837
2.41131,13.9987
2.48020,13.8671
2.54910,9.6778
2.61799,5.1019
2.68689,3.7731
2.75578,3.0226
2.82467,5.0667
2.89357,2.1612
2.96246,1.7122
3.03136,0.8334
