,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.1667,1.24997,7.1666
1,0.06889,4.5194,0.47449,6.6667
2,0.13779,5.5037,2.71165,6.3078
3,0.20668,8.3107,2.17795,10.0089
4,0.27558,11.2447,0.38442,6.8334
5,0.34447,9.3161,1.05403,7.3724
6,0.41337,26.7136,2.80626,10.3783
7,0.48226,50.0491,3.51201,7.2426
8,0.55116,52.1338,5.31977,11.9924
9,0.62005,48.6554,2.9708,16.9706
10,0.68894,50.3926,5.35278,22.9511
11,0.75784,41.263,4.49026,24.3626
12,0.82673,37.0429,4.04729,25.1148
13,0.89563,25.2292,3.77104,32.5156
14,0.96452,12.3756,1.84538,32.8334
15,1.03342,7.8357,0.55859,29.8492
16,1.10231,7.1937,1.02702,28.1029
17,1.17121,5.6307,1.00826,28.7492
18,1.2401,1.6037,0.98423,27.0338
19,1.309,2.6666,1.0,22.3184
20,1.37789,1.5286,1.19521,20.223
21,1.44678,0.5518,0.59685,22.7409
22,1.51568,1.699,0.11187,15.9566
23,1.58457,0.4925,0.83331,11.8228
24,1.65347,0.0473,0.16669,14.2701
25,1.72236,1.5112,0.0,15.4362
26,1.79126,0.2508,0.83331,13.5564
27,1.86015,3.3333,0.16669,14.8693
28,1.92905,0.6667,0.0,10.356
29,1.99794,2.1997,0.0,11.5006
30,2.06683,1.9122,0.83331,6.6173
31,2.13573,1.9422,1.78073,5.0105
32,2.20462,0.2958,0.4272,3.202
33,2.27352,0.0,0.66216,5.8198
34,2.34241,0.6681,0.59912,7.5271
35,2.41131,1.9234,0.45497,4.8942
36,2.4802,0.6555,0.62611,4.1711
37,2.5491,2.111,1.66663,6.7222
