,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,2.0,3.875,11.875
1,0.06889,4.0,2.8571,17.0
2,0.13779,5.6607,1.3214,17.8929
3,0.20668,5.25,2.1786,13.1786
4,0.27558,11.6786,2.5893,16.0179
5,0.34447,20.8571,2.2143,21.5714
6,0.41337,35.5179,4.1607,27.4643
7,0.48226,59.5,5.5,35.5
8,0.55116,61.125,7.0,40.9643
9,0.62005,39.8571,9.8571,51.1429
10,0.68894,22.5357,12.3214,62.7857
11,0.75784,17.8571,11.4643,61.0
12,0.82673,16.375,8.6607,60.3214
13,0.89563,11.7143,6.1429,52.1429
14,0.96452,8.75,5.25,33.25
15,1.03342,3.5714,5.0357,23.9643
16,1.10231,0.9464,3.1786,20.9464
17,1.17121,3.2857,2.0,17.5714
18,1.2401,2.9464,3.8929,14.75
19,1.309,0.7857,4.4643,13.4643
20,1.37789,1.5893,4.5,12.625
21,1.44678,4.5,5.5,10.5
