,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,3.5,3.25,10.25
1,0.06889,3.9872,2.5043,10.2244
2,0.13779,2.1453,1.9829,10.906
3,0.20668,2.7981,1.1106,12.9712
4,0.27558,4.1923,1.3761,16.7051
5,0.34447,7.4049,2.571,17.0502
6,0.41337,18.6154,2.4615,17.3077
7,0.48226,25.2585,3.8317,19.304
8,0.55116,29.2372,9.2094,16.6966
9,0.62005,46.2404,12.5288,17.6779
10,0.68894,53.6838,12.5214,19.9573
11,0.75784,35.8499,12.5481,27.5598
12,0.82673,15.2115,11.7115,37.7692
13,0.89563,10.4028,9.4583,53.1319
14,0.96452,10.8205,6.5641,58.5043
15,1.03342,8.6106,6.1442,67.9663
16,1.10231,5.0556,6.6004,81.9274
17,1.17121,9.5609,6.2751,81.1608
18,1.2401,15.2308,5.3846,69.8462
19,1.309,10.3632,3.5267,71.4204
20,1.37789,14.8333,1.6197,69.6218
21,1.44678,12.6779,3.0625,69.0817
22,1.51568,6.5299,3.7863,61.0256
23,1.58457,5.4706,3.6517,59.3595
24,1.65347,6.3077,3.1731,55.9423
25,1.72236,7.3301,2.3397,51.9402
26,1.79126,7.6667,2.4444,49.4444
27,1.86015,6.0721,3.0865,48.4183
28,1.92905,4.7543,3.0534,40.0662
29,1.99794,4.4979,2.9428,27.8381
30,2.06683,2.2308,1.6154,28.1538
31,2.13573,5.0759,2.3061,19.0614
32,2.20462,3.3761,2.1966,14.0107
33,2.27352,1.6442,2.8894,10.6538
34,2.34241,2.9573,1.8974,8.8034
35,2.41131,3.6581,2.4428,7.4509
36,2.4802,3.5,1.5385,10.1538
37,2.5491,1.8104,0.649,11.0043
38,2.61799,1.0,2.8974,8.1111
39,2.68689,0.25,3.625,7.1875
