,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,3.375,0.1875,10.375
1,0.06889,2.3203,0.61328,7.998
2,0.13779,0.8984,2.05469,6.9336
3,0.20668,2.9805,0.83008,7.8809
4,0.27558,0.9219,0.34375,6.0781
5,0.34447,2.5254,0.68359,5.1582
6,0.41337,9.0781,1.70703,7.9805
7,0.48226,13.3359,2.41406,11.4316
8,0.55116,15.7656,4.0625,17.4062
9,0.62005,14.8691,4.75,20.3457
10,0.68894,7.5,4.12891,29.6445
11,0.75784,6.8809,3.74219,35.1777
12,0.82673,4.625,1.21875,33.2578
13,0.89563,3.2207,0.55664,36.1367
14,0.96452,1.0781,0.98828,41.25
15,1.03342,2.4512,1.49805,38.9609
16,1.10231,2.25,1.40625,39.75
17,1.17121,3.1758,0.60156,43.9141
18,1.2401,3.5742,0.99609,29.625
19,1.309,3.5215,0.34766,20.0684
20,1.37789,3.5547,1.25781,19.3906
21,1.44678,1.2578,1.05664,26.5527
22,1.51568,0.9844,1.55859,22.9492
23,1.58457,0.3164,0.4082,15.8555
24,1.65347,0.625,0.75,14.1094
25,1.72236,1.0449,0.45898,13.0
26,1.79126,1.7188,1.39453,15.3555
27,1.86015,1.6035,0.05859,12.8516
28,1.92905,0.8203,0.46094,11.2578
29,1.99794,0.7324,1.14062,11.0
30,2.06683,2.7148,0.71484,11.457
31,2.13573,1.7441,0.24414,12.4121
32,2.20462,0.75,1.5,8.0
